Word,Meaning
fervid,showing earnest feeling         
provisional,of the present time only       
convoluted,complicated coiled twisted         
paradigm,a model example or pattern       
invective,abusive language curses         
fission,splitting or division (esp. of cells)      
brook,to tolerate endure         
fetid,stinking         
gaucherie,socially awkward tactless behavior        
topple,be unsteady and overturn        
tepid,lukewarm         
debacle,a breakup overthrow sudden disaster       
indulge,gratify give way to satisfy allow oneself     
arabesque,a complex ornate design        
temperate,showing self-control          
ineffable,to great to be described in words     
coda,passage that completes a piece of music   
hone,stone used for sharpening tools       
weigh,measure hoe heavy smth is       
divulge,make known smth secret        
veneer,surface appearance covering the TRUE nature      
defer,postpone give way (to show respect)      
chisel,steel tool for shaping materials       
welter,turmoil a bewildering jumble        
incessant,often repeated continual         
ossify,to turn to bone to settle rigidly into an idea  
tawdry,cheap gaudy showy tacky        
whimsical,full of odd and fanciful ideas      
saturnine,gloomy dark sullen morose        
lionize,treat as a famous person     
middling,fairly good but not very good      
scabbard,sheath for the blade        
onerous,needing effort burdensome         
taciturn,untalkative silent          
rumple,make rough        
spurn,have nothing to do reject or refuse     
doggerel,trivial poorly constructed verse        
decry,disapprove of          
sophomoric,self-assured though immature affected bombastic overblown      
proscribe,denounce as dangerous         
deprecate,protest against express disapproval of       
succor,assistance relief in time of distress      
vain,without use result conceited        
abstruse,difficult to comprehend obscure        
corporeal,physical of or for the body      
repulsive,causing a feeling of disgust       
catalyst,substance that causes speeding up       
coax,get smb to do smth by kindness     
agile,active quick-moving          
lumber,move in a clumsy/noisy way     
vacillation,being uncertain hesitating         
consummate,perfect/make perfect/complete        
clientele,customers         
impair,worsen diminish in value        
prevaricate,to equivocate to stray from the truth     
glib,ready and smooth but not sincere      
apprise,give notice to inform        
valorous,brave           
plaque,flat metal on a wall as a memorial    
cravat,piece of linen worn as a necktie   
demur,to hesitate raise objections        
swerve,change direction suddenly       
steeply,rising or falling sharply        
slate,king of blue-grey stone propose criticize      
refine,make or become pure cultural       
detumescence,diminishing or lessening of swelling       
nugatory,trifling/worthless         
malinger,to fake illness or injury in order to shirk a duty 
palate,roof of the mouth sense of taste     
cognizant,being fully aware of        
combustion,process of burning         
loll,rest to sit or stand in a lazy way hang (dog's tongue)
forswear,renounce disallow repudiate         
extrovert,cheerful person          
baleful,harmful ominous causing evil        
animosity,strong dislike          
blandishment,flattery coaxing          
drone,male bee person who isn't self-employed      
impermeable,that cannot be permeated        
plaintive,mournful melancholy sorrowful         
taut,tightly stretched          
incite,stir up rouse         
deposition,dethronement depositing          
indomitable,not easily discouraged or subdued       
bedizen,to adorn especially in a cheap showy manner    
perish,be destroyed decay         
viscous,sticky/semi-fluid         
frugal,careful economical          
recompense,make payment to reward punish       
cant,insincere talk/jargon        
maudlin,sentimental in a silly or tearful way     
forfeit,suffer the loss of smth       
profligacy,shameless immorality        
apprehensive,grasping understanding fear unhappy feeling about future     
edacious,voracious devouring          
abeyance,suspended action          
sluggard,lazy slow-moving person         
nebulous,cloud-like hazy vague indistinct        
abdication,giving up control authority        
intransigent,uncompromising           
insensible,unconscious unresponsive unaffected         
gist,the point general sense        
churl,bad-tempered person          
ameliorate,improve make better         
opprobrious,showing scorn or reproach        
purvey,provide supply          
petrify,to make hard rocklike        
timid,shy easily frightened         
penitent,feeling or showing regret        
extirpate,to destroy exterminate cut out exscind      
austere,severely moral and strict simple and plain     
wean,to turn away (from a habit)    
obdurate,hardened and unrepenting stubborn inflexible       
tractable,easily controlled or guided        
hoax,mischievous trick played on smb for a joke    
vituperate,curse abuse in words        
peccadillo,small sin small weakness in one's character     
inimitable,defying imitation unmatchable         
discomfit,confuse embarrass          
lackluster,(of eyes) dull         
procrastination,keeping on putting off        
eradicate,get rid of pull up by the roots    
clot,half-solid lump formed from liquid       
libertine,immoral person          
clinch,come to grips/settle conclusively      
insouciant,unconcerned carefree          
reconcile,settle a quarrel restore peace       
connoisseur,a person with good judgement (e.g.. in art)    
urbane,elegant refined in manners        
hoodwink,trick mislead          
dud,no use person smth that fails      
slack,sluggish dull not tight        
discourse,speech lecture          
invincible,too strong to be defeated     
entreat,ask earnestly          
pertain,belong as a part have reference      
mellifluous,sweetly flowing          
belabor,beat hard        
stanch,to stop the flow of a fluid     
shrill,sharp piercing          
calumny,slander aspersion          
foster,nurture care for         
repudiate,disown refuse to accept or pay      
perilous,dangerous           
benefactor,person who has given help       
torment,severe pain or suffering        
alloy,to debase by mixing with something inferior     
verve,spirit vigor enthusiasm         
tyro,tiro beginner          
prone,prostrate inclined to (undesirable things)       
disencumber,free from encumbrance         
distraught,distracted violently upset in mind       
recast,cast or fashion anew        
foil,prevent from carrying out contrast       
unscathed,unharmed unhurt          
exorbitant,much too high or great       
refulgent,shining brilliant          
coddle,treat with care and tenderness       
demagogue,person appealing not to reasons       
quiescent,at rest dormant torpid        
flak,criticism/anti-aircraft guns        
sere,make hard and without feeling     
adorn,add beauty decorate         
fluke,lucky stroke        
infuse,put pour fill         
raconteur,person who tells anecdotes        
discreet,careful/prudent         
incredulous,skeptical unwilling to believe        
palliate,lessen the severity of        
penurious,poor/stingy         
suborn,induce by bribery or smth to commit perjury    
pest,destructive thing or a person who is nuisance    
inundate,flood cover by overflowing        
daunt,intimidate make fearful         
profane,worldly having contempt for God       
stipulate,state or put forward as a necessary condition    
condense,increase in density strength make laconic      
duplicity,deliberate deception          
savant,person of great learning        
mollify,make calmer or quieter        
encapsulate,enclose in capsule         
fluster,make nervous or confused        
sublime,extreme astounding          
emaciate,make thin and weak        
cogent,strong convincing          
pinch,be too tight take between the thumb and finger   
flop,fail/move/fall clumsily        
sodden,soaked saturated          
hoi,polloi the masses the rabble       
fulmination,bitter protest          
intransigence,unwillingness to compromise stubbornness intractability       
dormant,in a state of inactivity but awaiting development    
gush,burst out suddenly/talk ardently      
overweening,presumptuously arrogant overbearing immoderate being a jerk     
aggravate,make worse irritate         
glean,gather facts in small quantities       
scribble,write hastily          
ferment,substance become excited         
hospitable,liking to give hospitality        
